Month,Index_Future,Stock_Future,Index_Option,Stock_Option
Apr-2024,24836.54,435.98,11915.18,3958.25	
May-2024,37390.64,862.45,14393.78,3302.45	
Jan-2025,61325.35,302.65,14662.91,3383.26	
Jun-2024,58839.05,348.6,13912.5,5283.66	
Jul-2024,34038.46,270.26,12522.08,3257.71	
Aug-2024,43639.07,254.13,12203.92,3449.75	
Sep-2024,34679.74,330.37,14041.,94358.4
Oct-2024,50274.54,490.31,16228.75,4598.49	
Nov-2024,44264.24,424.79,1338,3590.1	
Dec-2024,29602.03,130.06,14565.06,3523.93	
Mar-2025,34106.32,251.33,11465.27,2522.23	
Feb-2025,41989.95,496.47,12131.9,2128.1	
Apr-2023,7485.05,160.05	,5707.49,1210.38
May-2023,12584.18,103.34,7460.33,947.61
Jun-2023,13428.19,340.89,7051.21,1162.56
Jul-2023,12862.57,207.08,9010.81,1739.33
Aug-2023,13817.07,203.58,8720.59,1389.23
Jan-2024,34010.27,448.47,12664.85,2848.71
Sep-2023,19975.98,337.57,8761.17,1796.3
Oct-2023,22587.31,804,8687.73,2280.68
Nov-2023,15332.8,209.16,7593.68,2247.48
Dec-2023,27065.12,339.92,12049.72,3691.34
Mar-2024,30904.33,632.1,11874.81,2588.46
Feb-2024,29647.63,154.58,12573.53,2122.71
Apr-2022,24181.92,190.9,6749.85,841.7	
May-2022,33942.13,204.52,7107.13,1312.34	
Jun-2022,24839.29,148.68,7488.66,1428.93	
Jul-2022,18631.46,418.57,5846.56,1065.28	
Aug-2022,16950.4,156.12,6718.4,847.81	
Sep-2022,21897.23,117,8841.79,1290.68
Oct-2022,18234.73,219.08,6148.16,884.39	
Nov-2022,13521.47,202.75,6058.57,870.52	
Dec-2022,19729.26,202.72,7722.27,1120.86
Jan-2023,17833.25,605.77,7901.23,777.16	
Feb-2023,15665.04,110.73,7658.79,940.14
Mar-2023,18339.52,219.82,8437.09,1533.17
